,drift,ms
496,628,26
497,428,8
498,1195,13
499,917,13
500,280,6
501,38,30
502,264,13
503,4087,6
504,116,7
505,324,13
506,361,19
507,132,16
508,308,16
509,414,17
510,235,41
511,21,14
512,168,18
513,288,16
514,409,9
515,264,18
516,110,16
517,262,27
518,176,20
519,169,18
520,206,19
521,204,10
522,20,17
523,116,22
524,175,14
525,473,20
526,23,57
527,99,20
528,166,28
529,163,27
530,163,25
531,217,10
532,275,19
533,101,18
534,185,18
535,81,32
536,299,30
537,208,17
538,108,18
539,138,17
540,22,97
541,32,75
542,153,19
543,336,51
544,434,18
545,182,32
546,485,17
547,199,20
548,198,16
549,236,12
550,185,13
551,461,34
552,28,19
553,117,12
554,15,8
555,99,31
556,179,15
557,382,16
558,205,28
559,155,29
560,102,18
561,149,18
562,110,19
563,93,20
564,95,18
565,369,30
566,16,27
567,33,7
568,45,9
569,80,11
570,133,19
571,216,28
572,193,18
573,210,13
574,43,98
575,30,19
576,60,12
577,32,17
578,17,13
579,109,38
580,193,95
581,98,43
582,72,16
583,347,16
584,313,42
585,135,20
586,346,45
587,1161,18
588,245,12
589,373,19
590,323,30
591,404,12
592,208,22
593,208,11
594,342,6
595,379,20
596,84,44
597,266,15
598,384,25
599,303,16
600,816,10
601,414,23
602,394,20
603,138,42
604,83,10
605,243,15
606,324,20
607,212,21
608,92,44
609,235,16
610,543,13
611,435,21
612,353,96
613,26,96
614,314,15
615,214,33
616,216,33
617,262,18
618,729,46
619,207,20
620,503,13
621,516,23
622,132,19
623,306,14
624,211,16
625,213,15
626,209,15
627,159,24
628,144,22
629,219,17
630,1130,34
631,291,13
632,249,21
633,151,19
634,435,6
635,41,19
636,419,14
637,244,41
638,612,17
639,347,7
640,748,30
641,107,20
642,17,9
643,221,47
644,925,32
645,298,20
646,229,11
647,445,32
648,31,12
649,249,21
650,106,17
651,553,17
652,621,11
653,616,17
654,597,13
655,1453,16
656,401,82
657,35,32
658,613,15
659,1093,21
660,794,18
661,363,15
662,65,18
663,329,17
664,2091,16
665,480,15
666,483,30
667,534,19
668,179,31
669,283,19
670,152,19
671,162,153
672,15,11
673,32,28
674,32,43
675,45,48
676,20,38
677,48,72
678,59,20
679,621,28
680,297,19
681,112,20
682,127,44
683,283,18
684,511,13
685,650,15
686,229,89
687,179,17
688,465,29
689,290,13
690,310,15
691,363,15
692,250,16
693,114,246
694,19,46
695,129,39
696,232,19
697,648,28
698,500,158
699,51,23
700,15,65
701,188,19
702,1782,30
703,72,16
704,1290,17
705,1063,27
706,1400,27
707,1356,16
708,249,10
709,2498,54
710,29,17
711,205,31
712,819,35
713,214,28
714,531,32
715,612,16
716,901,28
717,964,18
718,59,20
719,299,12
720,1191,46
721,611,32
722,445,28
723,1314,28
724,1026,26
725,2134,28
726,15,16
727,126,27
728,855,30
729,401,6
730,643,28
731,4107,46
732,56,19
733,6160,44
734,2279,18
735,1524,8
736,28,6
737,704,17
738,3483,39
739,775,35
740,3006,32
741,48,25
742,62,23
743,26,15
744,21,19
745,31,14
746,34,11
747,2164,14
748,313,13
749,308,31
750,622,18
751,369,30
752,457,47
753,259,33
754,392,21
755,155,8
756,14,9
757,77,46
758,53,8
759,292,27
760,446,18
761,231,23
762,797,26
763,314,30
764,430,32
765,455,31
766,238,18
767,295,22
768,441,35
769,204,21
770,349,34
771,652,22
772,316,33
773,822,19
774,420,19
775,442,47
776,877,15
777,208,16
778,42,18
779,130,16
780,292,16
781,272,6
782,294,13
783,267,11
784,234,14
785,356,16
786,290,18
787,226,13
788,123,18
789,174,16
790,571,19
791,176,16
792,629,12
793,378,14
794,640,12
795,173,16
796,369,12
797,153,15
798,380,15
799,296,21
800,318,10
801,286,15
802,878,17
803,264,11
804,356,9
805,488,13
806,80,17
807,240,19
808,1454,9
809,613,95
810,19,20
811,1729,13
812,717,89
813,18,9
814,17,17
815,292,12
816,294,29
817,480,10
818,250,26
819,536,28
820,590,28
821,595,21
822,234,8
823,305,9
824,758,7
825,693,26
826,594,145
827,17,24
828,26,24
829,428,16
830,419,11
831,625,9
832,606,25
833,1071,40
834,1443,29
835,221,13
836,347,25
837,236,11
838,431,24
839,577,10
840,623,30
841,302,44
842,613,9
843,301,26
844,183,10
845,624,75
846,144,28
847,513,28
848,1464,10
849,1038,31
850,1005,30
851,380,23
852,676,30
853,553,14
854,473,28
855,862,6
856,300,31
857,732,32
858,209,20
859,291,22
860,691,31
861,804,25
862,403,33
863,114,21
864,525,28
865,556,32
866,217,21
867,175,32
868,1198,43
869,85,22
870,527,25
871,208,32
872,968,16
873,192,19
874,263,32
875,715,35
876,203,19
877,1418,19
878,208,30
879,225,7
880,243,20
881,170,21
882,275,20
883,787,73
884,98,27
885,218,18
886,387,28
887,388,22
888,317,20
889,425,17
890,283,27
891,506,42
892,28,45
893,171,32
894,709,6
895,167,10
896,131,29
897,385,35
898,555,123
899,177,30
900,172,19
901,801,32
902,146,16
903,285,13
904,813,13
905,806,16
906,150,32
907,63,19
908,289,14
909,334,12
910,247,14
911,424,45
912,244,46
913,434,9
914,111,102
915,294,9
916,182,30
917,1995,20
918,153,16
919,490,13
920,337,21
921,125,16
922,914,13
923,143,11
924,26,94
925,1697,9
926,544,19
927,107,13
928,178,16
929,340,14
930,368,13
931,219,14
932,318,13
933,170,12
934,1373,13
935,49,31
936,38,6
937,718,32
938,156,12
939,315,11
940,213,8
941,202,16
942,192,10
943,603,10
944,576,12
945,242,13
946,75,6
947,998,9
948,273,20
949,163,11
950,1334,19
951,121,17
952,198,18
953,186,31
954,124,23
955,2394,43
956,222,13
957,5085,14
958,335,67
959,3018,8
960,554,17
961,2317,35
962,329,12
963,825,8
964,984,9
965,703,27
966,1114,24
967,1957,21
968,569,26
969,466,15
970,212,33
971,183,11
972,418,8
973,1318,29
974,377,20
975,165,18
976,1152,29
977,454,13
978,1373,13
979,1281,27
980,1515,11
981,822,16
982,1660,15
983,1646,18
984,369,30
985,547,25
986,1160,55
987,215,28
988,593,18
989,183,58
990,297,23
991,126,17
992,456,85
993,353,20
994,449,65
995,48,21
996,1377,15
997,399,32
998,47,20
999,594,30
1000,1182,14
1001,1174,28
1002,293,29
1003,427,20
1004,74,20
1005,26,21
1006,112,19
1007,999,15
1008,305,16
1009,287,47
1010,205,30
1011,368,31
1012,426,33
1013,279,28
1014,453,30
1015,403,30
1016,845,16
1017,1094,27
1018,374,27
1019,330,33
1020,467,32
1021,322,31
1022,609,13
1023,317,31
1024,325,8
1025,355,6
1026,381,26
1027,559,41
1028,241,29
1029,463,29
1030,379,32
1031,378,29
1032,905,18
1033,305,16
1034,270,16
1035,506,6
1036,270,93
1037,34,69
1038,148,18
1039,332,27
1040,340,14
1041,290,30
1042,325,29
1043,900,26
1044,312,32
1045,226,95
1046,242,30
1047,414,24
1048,764,27
1049,304,29
1050,304,27
1051,1011,32
1052,448,31
1053,721,30
1054,429,27
1055,802,26
1056,199,9
1057,207,13
1058,1067,31
1059,119,18
1060,271,7
1061,959,8
1062,625,9
1063,108,8
1064,523,7
1065,494,19
1066,44,16
1067,501,12
1068,8002,9
1069,2445,27
1070,444,8
1071,716,6
1072,1102,34
1073,808,26
1074,5735,22
1075,55,7
1076,16,40
1077,603,31
1078,2870,20
1079,316,19
1080,1577,20
1081,17,22
1082,1154,17
1083,162,11
1084,591,120
1085,446,110
1086,19,54
1087,732,17
1088,2513,17
1089,502,33
1090,371,29
1091,1486,43
1092,3228,34
1093,186,45
1094,114,33
1095,425,47
1096,159,21
1097,755,34
1098,413,27
1099,223,37
1100,975,37
1101,764,33
1102,430,32
1103,212,17
1104,342,12
1105,2389,131
1106,644,16
1107,197,12
1108,981,14
1109,2705,13
1110,1911,14
1111,2348,13
1112,554,29
1113,862,20
1114,287,11
1115,4465,14
1116,1011,7
1117,146,57
1118,300,18
1119,2591,11
1120,1819,17
1121,972,11
1122,1447,14
1123,1733,9
1124,122,12
1125,396,12
1126,2119,16
1127,1836,13
1128,1289,12
1129,12679,10
1130,319,20
1131,75,26
1132,298,28
1133,36,218
1134,621,26
1135,232,31
1136,2027,8
1137,663,31
1138,444,8
1139,79,26
1140,111,17
1141,1152,33
1142,816,178
1143,22,10
1144,89,28
1145,196,194
1146,32,25
1147,71,8
1148,500,25
1149,842,24
1150,452,25
1151,763,10
1152,2557,27
1153,1351,143
1154,2389,28
1155,37,61
1156,490,146
1157,2195,28
1158,50,20
1159,18,197
1160,99,30
1161,636,28
1162,129,188
1163,806,13
1164,325,14
1165,345,16
1166,905,14
1167,232,15
1168,490,17
1169,183,15
1170,270,8
1171,620,19
1172,124,58
1173,69,69
1174,140,16
1175,1633,13
1176,405,17
1177,121,13
1178,660,9
1179,236,17
1180,862,19
1181,338,15
1182,99,167
1183,120,97
1184,68,14
1185,2605,16
1186,221,10
1187,852,18
1188,189,13
1189,1381,12
1190,166,12
1191,413,13
1192,404,15
1193,366,7
1194,495,15
1195,530,18
1196,175,16
1197,189,18
1198,305,10
1199,745,6
1200,426,12
1201,156,14
1202,312,14
1203,247,12
1204,202,33
1205,191,16
1206,245,12
1207,197,13
1208,262,6
1209,421,11
1210,280,11
1211,246,16
1212,153,14
1213,291,17
1214,487,18
1215,380,8
1216,2545,29
1217,153,28
1218,573,32
1219,1214,34
1220,2033,34
1221,342,18
1222,384,31
1223,479,30
1224,803,28
1225,226,33
1226,422,30
1227,796,7
1228,746,12
1229,338,30
1230,1004,14
1231,486,16
1232,641,31
1233,994,6
1234,302,31
1235,586,28
1236,384,32
1237,2636,31
1238,1488,37
1239,565,17
1240,366,49
1241,46,6
1242,165,33
1243,739,18
1244,381,33
1245,2151,11
1246,377,28
1247,5279,29
1248,3797,7
1249,620,17
1250,2713,14
1251,4130,10
1252,4566,28
1253,511,9
1254,53,32
1255,83,29
1256,1000,29
1257,1185,39
1258,111,32
1259,334,19
1260,1909,15
1261,311,35
1262,1948,21
1263,47,23
1264,91,28
1265,159,35
1266,207,12
1267,201,14
1268,759,33
1269,3844,43
1270,66,21
1271,120,32
1272,48,11
1273,112,21
1274,72,21
1275,499,29
1276,2363,32
1277,1414,17
1278,1723,21
1279,96,30
1280,1602,20
1281,160,21
1282,119,31
1283,47,6
1284,726,9
1285,300,12
1286,1359,13
1287,2452,56
1288,282,10
1289,416,59
1290,34,58
1291,137,15
1292,1036,11
1293,1222,184
1294,19,16
1295,17,7
1296,931,8
1297,421,12
1298,1439,26
1299,387,29
1300,277,11
1301,280,27
1302,764,10
1303,657,21
1304,730,13
1305,30,83
1306,687,12
1307,126,15
1308,986,15
1309,1192,15
1310,154,11
1311,3547,6
1312,596,7
1313,3895,41
1314,2451,73
1315,67,15
1316,3020,14
1317,1555,19
1318,144,15
1319,527,12
1320,613,16
1321,781,30
1322,704,10
1323,674,35
1324,457,13
1325,138,20
1326,30,19
1327,117,32
1328,150,9
1329,65,30
1330,16,73
1331,25,12
1332,19,17
1333,343,28
1334,1240,16
1335,520,67
1336,120,31
1337,1445,10
1338,250,32
1339,542,6
1340,766,13
1341,1312,21
1342,430,20
1343,1244,34
1344,255,18
1345,1285,13
1346,2941,42
1347,403,22
1348,355,32
1349,430,17
1350,1457,20
1351,115,15
1352,398,16
1353,1510,21
1354,202,12
1355,1051,14
1356,405,16
1357,282,15
1358,238,32
1359,595,12
1360,1078,16
1361,60,17
1362,1640,31
1363,207,19
1364,211,18
1365,210,17
1366,228,14
1367,536,70
1368,63,30
1369,127,6
1370,68,15
1371,360,25
1372,369,28
1373,315,18
1374,78,29
1375,259,27
1376,582,58
1377,162,19
1378,233,31
1379,502,21
1380,86,30
1381,237,10
1382,307,63
1383,42,22
1384,460,15
1385,391,17
1386,84,15
1387,407,6
1388,575,10
1389,169,14
1390,293,29
1391,1259,28
1392,202,12
1393,502,55
1394,69,29
1395,236,15
1396,54,30
1397,282,17
1398,458,31
1399,310,47
1400,216,41
1401,347,42
1402,138,32
1403,140,71
1404,69,53
1405,90,19
1406,300,11
1407,366,29
1408,582,20
1409,108,32
1410,1154,35
1411,751,18
1412,189,31
1413,190,11
1414,365,29
1415,178,9
1416,383,21
1417,60,31
1418,303,9
1419,447,28
1420,140,29
1421,230,16
1422,352,25
1423,346,8
1424,526,32
1425,35,31
1426,476,30
1427,46,42
1428,176,14
1429,334,28
1430,191,33
1431,15,53
1432,179,15
1433,187,30
1434,185,79
1435,113,18
1436,143,18
1437,134,17
1438,182,30
1439,216,20
1440,134,30
1441,343,31
1442,200,36
1443,90,18
1444,233,15
1445,216,17
1446,644,33
1447,128,32
1448,1458,11
1449,250,18
1450,349,31
1451,512,12
1452,263,14
1453,519,12
1454,283,11
1455,808,6
1456,657,27
1457,297,14
1458,527,8
1459,479,6
1460,299,15
1461,436,12
1462,207,11
1463,243,31
1464,161,31
1465,121,32
1466,105,28
1467,127,6
1468,94,14
1469,139,65
1470,92,32
1471,130,12
1472,198,15
1473,187,9
1474,234,31
1475,365,77
1476,28,18
1477,127,16
1478,167,17
1479,182,9
1480,230,14
1481,283,11
1482,661,11
1483,217,11
1484,339,9
1485,530,11
1486,327,6
1487,237,7
1488,335,33
1489,503,34
1490,398,49
1491,224,44
1492,722,33
1493,86,8
1494,588,30
1495,389,33
1496,35,38
1497,173,16
1498,1066,61
1499,325,41
1500,217,49
1501,421,31
1502,270,57
1503,114,20
1504,237,33
1505,1004,34
1506,984,31
1507,115,31
1508,391,41
1509,191,21
1510,953,28
1511,528,32
1512,645,28
1513,889,33
1514,316,43
1515,87,32
1516,161,45
1517,1397,35
1518,343,27
1519,1201,30
1520,438,55
1521,223,52
1522,251,34
1523,794,16
1524,617,45
1525,601,7
1526,48,46
1527,144,46
1528,376,50
1529,218,87
1530,105,13
1531,108,8
1532,984,50
1533,669,50
1534,1114,36
1535,17,8
1536,1371,30
1537,784,34
1538,372,34
1539,59,19
1540,1257,43
1541,1160,19
1542,1207,6
1543,479,20
1544,153,30
1545,849,11
1546,419,31
1547,425,21
1548,71,19
1549,1269,9
1550,320,19
1551,974,22
1552,88,30
1553,1278,34
1554,323,17
1555,483,29
1556,60,10
1557,948,13
1558,556,47
1559,327,44
1560,1543,20
1561,48,18
1562,2503,28
1563,497,33
1564,779,45
1565,874,24
1566,504,43
1567,1633,14
1568,74,45
1569,121,31
1570,456,29
1571,391,32
1572,368,35
1573,392,36
1574,438,19
1575,280,32
1576,633,8
1577,997,24
1578,46,46
1579,29,20
1580,631,20
1581,624,19
1582,1057,33
1583,772,42
1584,315,20
1585,93,33
1586,668,14
1587,873,7
1588,433,30
1589,591,17
1590,197,77
1591,19,13
1592,407,33
1593,373,20
1594,190,32
1595,901,12
1596,320,31
1597,386,30
1598,37,19
1599,226,8
1600,100,12
1601,180,17
1602,625,20
1603,3145,8
1604,1660,16
1605,517,41
1606,16,32
1607,178,15
1608,294,32
1609,447,29
1610,2172,15
1611,684,29
1612,493,12
1613,216,33
1614,59,33
1615,431,22
1616,473,15
1617,22,21
1618,79,30
1619,149,19
1620,158,19
1621,2466,14
1622,965,6
1623,193,13
1624,853,11
1625,273,32
1626,492,9
1627,18,32
1628,133,8
1629,14,7
1630,67,31
1631,209,7
1632,120,7
1633,16,46
1634,61,29
1635,598,169
1636,212,44
1637,79,7
1638,233,26
1639,336,14
1640,417,24
1641,608,23
1642,2584,29
1643,843,14
1644,889,13
1645,718,19
1646,113,22
1647,413,31
1648,856,16
1649,300,15
1650,651,29
1651,405,8
1652,204,40
1653,372,43
1654,167,18
1655,456,48
1656,703,45
1657,408,48
1658,16,9
1659,94,48
1660,148,17
1661,521,30
1662,482,32
1663,339,30
1664,772,50
1665,58,46
1666,261,29
1667,458,50
1668,14,8
1669,15,45
1670,357,13
1671,1526,17
1672,234,28
1673,709,69
1674,559,31
1675,337,46
1676,379,19
1677,2184,64
1678,76,34
1679,1154,46
1680,360,18
1681,312,45
1682,169,75
1683,144,32
1684,342,12
1685,1028,29
1686,833,32
1687,298,41
1688,243,36
1689,304,64
1690,1362,14
1691,597,15
1692,566,28
1693,115,29
1694,168,18
1695,540,54
1696,893,27
1697,1133,12
1698,273,11
1699,257,12
1700,661,10
1701,1243,31
1702,890,18
1703,1006,12
1704,296,31
1705,643,32
1706,929,25
1707,134,31
1708,335,30
1709,462,14
1710,546,7
1711,711,30
1712,834,13
1713,763,7
1714,277,16
1715,439,18
1716,179,14
1717,660,30
1718,60,17
1719,125,10
1720,555,29
1721,553,14
1722,530,9
1723,616,11
1724,458,28
1725,451,9
1726,571,15
1727,1017,8
1728,282,22
1729,856,10
1730,543,13
1731,566,16
1732,154,17
1733,150,17
1734,842,19
1735,148,20
1736,345,16
1737,1512,11
1738,826,32
1739,470,96
1740,114,95
1741,460,48
1742,107,16
1743,2188,13
1744,1214,67
1745,467,56
1746,41,21
1747,369,12
1748,1077,9
1749,988,14
1750,1394,13
1751,613,14
1752,205,6
1753,520,35
1754,2661,33
1755,719,33
1756,80,18
1757,403,8
1758,2273,35
1759,144,14
1760,217,8
1761,231,14
1762,1872,14
1763,198,12
1764,272,34
1765,1200,46
1766,669,10
1767,834,13
1768,1231,13
1769,120,12
1770,2039,9
1771,528,32
1772,315,13
1773,422,9
1774,1126,110
1775,226,15
1776,550,42
1777,535,104
1778,563,85
1779,243,13
1780,522,88
1781,1037,29
1782,548,19
1783,236,21
1784,299,28
1785,865,11
1786,369,14
1787,362,7
1788,506,18
1789,1194,25
1790,2262,23
1791,161,15
1792,801,9
1793,2593,30
1794,171,16
1795,967,19
1796,1156,25
1797,561,30
1798,333,12
1799,1234,30
1800,1390,31
1801,1466,32
1802,1639,10
1803,570,31
1804,1395,31
1805,2187,19
1806,346,27
1807,1840,17
1808,480,82
1809,19,20
1810,631,32
1811,784,28
1812,2086,8
1813,256,33
1814,2372,33
1815,765,22
1816,253,33
1817,58,69
1818,815,33
1819,314,33
1820,307,34
1821,450,34
1822,111,136
1823,187,21
1824,1986,36
1825,281,36
1826,932,36
1827,289,34
1828,1126,45
1829,15,37
1830,313,29
1831,348,21
1832,227,32
1833,796,30
1834,990,67
1835,1075,33
1836,685,33
1837,391,6
1838,1401,29
1839,267,32
1840,120,35
1841,998,35
1842,452,33
1843,2109,20
1844,210,19
1845,402,15
1846,596,34
1847,198,16
1848,1764,34
1849,157,18
1850,1353,31
1851,52,7
1852,83,32
1853,334,30
1854,4208,19
1855,154,33
1856,849,18
1857,969,48
1858,329,33
1859,317,16
1860,492,8
1861,1744,24
1862,30,8
1863,24,8
1864,1260,8
1865,2223,20
1866,2730,20
1867,160,35
1868,763,17
1869,708,20
1870,132,21
1871,305,34
1872,3082,45
1873,2814,33
1874,532,35
1875,196,32
1876,435,49
1877,1283,47
1878,1093,15
1879,824,18
1880,250,18
1881,405,20
1882,78,21
1883,453,32
1884,1499,49
1885,328,35
1886,248,35
1887,531,33
1888,94,18
1889,264,50
1890,213,33
1891,412,31
1892,1080,14
1893,312,6
1894,184,50
1895,848,34
1896,286,32
1897,543,35
1898,543,37
1899,573,50
1900,33,21
1901,17,9
1902,160,19
1903,105,32
1904,479,28
1905,215,22
1906,23,16
1907,21,15
1908,18,45
1909,291,36
1910,520,29
1911,766,31
1912,480,38
1913,266,22
1914,108,35
1915,299,32
1916,676,33
1917,311,22
1918,116,34
1919,350,36
1920,488,16
1921,431,32
1922,886,41
1923,293,36
1924,429,21
1925,27,20
1926,2130,38
1927,16,8
1928,20,13
1929,37,10
1930,248,16
1931,1430,20
1932,147,31
1933,393,14
1934,240,19
1935,207,16
1936,983,16
1937,690,51
1938,1445,20
1939,82,17
1940,1366,12
1941,335,32
1942,552,9
1943,1324,30
1944,573,15
1945,1792,31
1946,278,18
1947,423,17
1948,2217,21
1949,730,29
1950,2408,22
1951,5130,26
1952,1614,24
1953,452,12
1954,173,17
1955,4116,8
1956,218,6
1957,52,20
1958,2495,18
1959,756,24
1960,2030,7
1961,334,12
1962,1096,26
1963,235,12
1964,701,8
1965,293,27
1966,1008,11
1967,5528,17
1968,341,26
1969,509,6
1970,2417,12
1971,169,7
1972,661,11
1973,703,26
1974,980,13
1975,795,15
1976,432,21
1977,245,11
1978,2893,23
1979,4140,30
1980,2608,14
1981,1038,7
1982,648,12
1983,576,26
1984,468,29
1985,1228,15
1986,1733,65
1987,403,23
1988,660,20
1989,552,27
1990,790,26
1991,595,19
1992,251,17
1993,257,12
1994,285,15
1995,300,28
1996,214,43
1997,231,12
1998,57,34
1999,181,9
2000,20,16
2001,102,6
2002,123,52
2003,395,15
2004,259,30
2005,259,30
2006,1583,26
2007,1170,15
2008,1787,29
2009,751,33
2010,1181,13
2011,308,6
2012,499,45
2013,408,14
2014,97,18
2015,48,9
2016,349,32
2017,289,42
2018,305,14
2019,140,8
2020,66,26
2021,393,19
2022,229,29
2023,189,25
2024,747,30
2025,300,43
2026,351,31
2027,249,30
2028,400,30
2029,423,20
2030,400,22
2031,607,19
2032,161,22
2033,84,23
2034,1088,21
2035,52,33
2036,51,21
2037,21,33
2038,80,32
2039,272,32
2040,346,42
2041,383,33
2042,682,31
2043,658,28
2044,582,13
2045,980,20
2046,191,33
2047,253,26
2048,327,26
2049,444,29
2050,375,31
2051,303,32
2052,360,18
2053,1163,33
2054,207,30
2055,724,21
2056,196,18
2057,264,29
2058,173,29
2059,1457,18
2060,162,47
2061,131,34
2062,178,27
2063,841,32
2064,367,34
2065,151,32
2066,779,35
2067,105,35
2068,502,23
2069,19,47
2070,94,34
2071,339,31
2072,102,22
2073,89,41
2074,34,35
2075,35,45
2076,28,24
2077,41,30
2078,316,10
2079,486,27
2080,308,6
2081,3310,30
2082,464,31
2083,229,11
2084,952,29
2085,447,25
2086,222,18
2087,133,16
2088,782,30
2089,599,7
2090,276,27
